step,avg_dist_earth,avg_velocity,kinetic_energy,tidal_factor
0,1597440.0,39.75,790.03125,1.0
100,270532608.0,82313216.0,3387732764131328.0,1.0841470956802368
200,1149239296.0,86507520.0,3741775508275200.0,1.0909297466278076
300,3288334336.0,287309824.0,4.127346748345549e+16,1.0141119956970215
400,5670699008.0,289406976.0,4.187819887873229e+16,0.9243197441101074
500,7784628224.0,289406976.0,4.187819887873229e+16,0.9041075706481934
600,7784628224.0,289406976.0,4.187819887873229e+16,0.9720584750175476
700,7784628224.0,289406976.0,4.187819887873229e+16,1.0656986236572266
800,7784628224.0,289406976.0,4.187819887873229e+16,1.098935842514038
900,7784628224.0,289406976.0,4.187819887873229e+16,1.0412118434906006
1000,7784628224.0,289406976.0,4.187819887873229e+16,0.9455978870391846
1100,7784628224.0,289406976.0,4.187819887873229e+16,0.9000009894371033
1200,7784628224.0,289406976.0,4.187819887873229e+16,0.9463427066802979
1300,7784628224.0,289406976.0,4.187819887873229e+16,1.0420167446136475
1400,7784628224.0,289406976.0,4.187819887873229e+16,1.0990607738494873
1500,7784628224.0,289406976.0,4.187819887873229e+16,1.0650287866592407
1600,7784628224.0,289406976.0,4.187819887873229e+16,0.9712096452713013
1700,7784628224.0,289406976.0,4.187819887873229e+16,0.9038602709770203
1800,7784628224.0,289406976.0,4.187819887873229e+16,0.9249012470245361
1900,7784628224.0,289406976.0,4.187819887873229e+16,1.0149877071380615
2000,7784628224.0,289406976.0,4.187819887873229e+16,1.091294527053833
2100,7784628224.0,289406976.0,4.187819887873229e+16,1.0836656093597412
2200,7784628224.0,289406976.0,4.187819887873229e+16,0.9991148710250854
2300,7784628224.0,289406976.0,4.187819887873229e+16,0.9153779745101929
2400,7784628224.0,289406976.0,4.187819887873229e+16,0.9094421863555908
