Px,Py,Pz,Vx,Vy,Vz,Tx,Ty,Tz,Stasis
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.1938671587944411e-22,0.0,0.0,0.0,0.0,0.0,1
