Px,Py,Pz,Vx,Vy,Vz,Tx,Ty,Tz,R_bubble,Watts
0.02039,0.0,0.0,0.0006565086527305774,0.0,0.0,0.0,0.0,0.0,18.959271141561683,1500000000.0
0.02106,0.0,0.0,0.0006699067885005892,0.0,0.0,0.0,0.0,0.0,18.580085718730448,1500000000.0
0.02174,0.0,0.0,0.0006835783556128461,0.0,0.0,0.0,0.0,0.0,18.20848400435584,1500000000.0
0.02245,0.0,0.0,0.0006975289342988225,0.0,0.0,0.0,0.0,0.0,17.844314324268723,1500000000.0
0.02316,0.0,0.0,0.0007117642186722679,0.0,0.0,0.0,0.0,0.0,17.48742803778335,1500000000.0
0.0239,0.0,0.0,0.0007262900190533346,0.0,0.0,0.0,0.0,0.0,17.13767947702768,1500000000.0
0.02464,0.0,0.0,0.0007411122643401373,0.0,0.0,0.0,0.0,0.0,16.79492588748713,1500000000.0
0.0254,0.0,0.0,0.0007562370044287116,0.0,0.0,0.0,0.0,0.0,16.459027369737385,1500000000.0
0.02618,0.0,0.0,0.0007716704126823588,0.0,0.0,0.0,0.0,0.0,16.129846822342635,1500000000.0
0.02698,0.0,0.0,0.0007874187884513866,0.0,0.0,0.0,0.0,0.0,15.807249885895782,1500000000.0
0.02779,0.0,0.0,0.0008034885596442721,0.0,0.0,0.0,0.0,0.0,15.491104888177865,1500000000.0
0.02861,0.0,0.0,0.000819886285351298,0.0,0.0,0.0,0.0,0.0,15.181282790414308,1500000000.0
0.02945,0.0,0.0,0.0008366186585217328,0.0,0.0,0.0,0.0,0.0,14.877657134606022,1500000000.0
0.0303,0.0,0.0,0.0008536925086956457,0.0,0.0,0.0,0.0,0.0,14.580103991913901,1500000000.0
0.03117,0.0,0.0,0.0008711148047914751,0.0,0.0,0.0,0.0,0.0,14.288501912075624,1500000000.0
0.03207,0.0,0.0,0.0008888926579504847,0.0,0.0,0.0,0.0,0.0,14.002731873834112,1500000000.0
0.033,0.0,0.0,0.0009070333244392702,0.0,0.0,0.0,0.0,0.0,13.722677236357429,1500000000.0
0.0339,0.0,0.0,0.0009255442086115002,0.0,0.0,0.0,0.0,0.0,13.44822369163028,1500000000.0
0.03485,0.0,0.0,0.0009444328659301023,0.0,0.0,0.0,0.0,0.0,13.179259217797675,1500000000.0
0.03583,0.0,0.0,0.0009637070060511247,0.0,0.0,0.0,0.0,0.0,12.915674033441721,1500000000.0
0.0368,0.0,0.0,0.0009833744959705354,0.0,0.0,0.0,0.0,0.0,12.657360552772888,1500000000.0
0.0378,0.0,0.0,0.0010034433632352402,0.0,0.0,0.0,0.0,0.0,12.40421334171743,1500000000.0
0.03885,0.0,0.0,0.0010239217992196329,0.0,0.0,0.0,0.0,0.0,12.156129074883081,1500000000.0
0.0399,0.0,0.0,0.0010448181624690132,0.0,0.0,0.0,0.0,0.0,11.913006493385419,1500000000.0
0.04095,0.0,0.0,0.001066140982111238,0.0,0.0,0.0,0.0,0.0,11.674746363517711,1500000000.0
0.04205,0.0,0.0,0.001087898961337998,0.0,0.0,0.0,0.0,0.0,11.441251436247356,1500000000.0
0.04315,0.0,0.0,0.0011101009809571408,0.0,0.0,0.0,0.0,0.0,11.21242640752241,1500000000.0
0.04428,0.0,0.0,0.0011327561030174908,0.0,0.0,0.0,0.0,0.0,10.98817787937196,1500000000.0
0.04544,0.0,0.0,0.0011558735745076435,0.0,0.0,0.0,0.0,0.0,10.76841432178452,1500000000.0
0.04663,0.0,0.0,0.0011794628311302487,0.0,0.0,0.0,0.0,0.0,10.55304603534883,1500000000.0
0.04782,0.0,0.0,0.001203533501153315,0.0,0.0,0.0,0.0,0.0,10.341985114641853,1500000000.0
0.04904,0.0,0.0,0.0012280954093401174,0.0,0.0,0.0,0.0,0.0,10.135145412349015,1500000000.0
0.0503,0.0,0.0,0.0012531585809593033,0.0,0.0,0.0,0.0,0.0,9.932442504102035,1500000000.0
0.05157,0.0,0.0,0.0012787332458768402,0.0,0.0,0.0,0.0,0.0,9.733793654019994,1500000000.0
0.0529,0.0,0.0,0.0013048298427314696,0.0,0.0,0.0,0.0,0.0,9.539117780939595,1500000000.0
0.05423,0.0,0.0,0.001331459023195377,0.0,0.0,0.0,0.0,0.0,9.348335425320803,1500000000.0
0.0556,0.0,0.0,0.0013586316563218134,0.0,0.0,0.0,0.0,0.0,9.161368716814387,1500000000.0
0.05698,0.0,0.0,0.0013863588329814424,0.0,0.0,0.0,0.0,0.0,8.978141342478098,1500000000.0
0.05838,0.0,0.0,0.001414651870389227,0.0,0.0,0.0,0.0,0.0,8.798578515628536,1500000000.0
0.0598,0.0,0.0,0.001443522316723701,0.0,0.0,0.0,0.0,0.0,8.622606945315965,1500000000.0
0.06128,0.0,0.0,0.001472981955840511,0.0,0.0,0.0,0.0,0.0,8.450154806409646,1500000000.0
0.0628,0.0,0.0,0.0015030428120821543,0.0,0.0,0.0,0.0,0.0,8.281151710281453,1500000000.0
0.06433,0.0,0.0,0.0015337171551858717,0.0,0.0,0.0,0.0,0.0,8.115528676075824,1500000000.0
0.0659,0.0,0.0,0.0015650175052917058,0.0,0.0,0.0,0.0,0.0,7.953218102554308,1500000000.0
0.0675,0.0,0.0,0.0015969566380527609,0.0,0.0,0.0,0.0,0.0,7.794153740503222,1500000000.0
0.06915,0.0,0.0,0.001629547589849756,0.0,0.0,0.0,0.0,0.0,7.638270665693158,1500000000.0
0.0708,0.0,0.0,0.0016628036631119961,0.0,0.0,0.0,0.0,0.0,7.485505252379294,1500000000.0
0.0725,0.0,0.0,0.0016967384317469348,0.0,0.0,0.0,0.0,0.0,7.335795147331708,1500000000.0
0.0742,0.0,0.0,0.0017313657466805459,0.0,0.0,0.0,0.0,0.0,7.1890792443850735,1500000000.0
0.076,0.0,0.0,0.001766699741510761,0.0,0.0,0.0,0.0,0.0,7.045297659497372,1500000000.0
0.0778,0.0,0.0,0.0018027548382762867,0.0,0.0,0.0,0.0,0.0,6.9043917063074245,1500000000.0
0.07965,0.0,0.0,0.0018395457533431495,0.0,0.0,0.0,0.0,0.0,6.766303872181276,1500000000.0
0.08154,0.0,0.0,0.0018770875034113772,0.0,0.0,0.0,0.0,0.0,6.6309777947376505,1500000000.0
0.08344,0.0,0.0,0.0019153954116442626,0.0,0.0,0.0,0.0,0.0,6.498358238842897,1500000000.0
0.0854,0.0,0.0,0.001954485113922717,0.0,0.0,0.0,0.0,0.0,6.368391074066039,1500000000.0
0.0874,0.0,0.0,0.001994372565227262,0.0,0.0,0.0,0.0,0.0,6.241023252584719,1500000000.0
0.0894,0.0,0.0,0.0020350740461502676,0.0,0.0,0.0,0.0,0.0,6.116202787533024,1500000000.0
0.0915,0.0,0.0,0.0020766061695410894,0.0,0.0,0.0,0.0,0.0,5.993878731782363,1500000000.0
0.0936,0.0,0.0,0.002118985887286826,0.0,0.0,0.0,0.0,0.0,5.874001157146716,1500000000.0
0.09576,0.0,0.0,0.0021622304972314555,0.0,0.0,0.0,0.0,0.0,5.756521134003782,1500000000.0
0.09796,0.0,0.0,0.0022063576502361786,0.0,0.0,0.0,0.0,0.0,5.641390711323706,1500000000.0
0.1002,0.0,0.0,0.002251385357383856,0.0,0.0,0.0,0.0,0.0,5.528562897097232,1500000000.0
0.10254,0.0,0.0,0.002297331997330465,0.0,0.0,0.0,0.0,0.0,5.417991639155288,1500000000.0
0.10486,0.0,0.0,0.0023442163238065966,0.0,0.0,0.0,0.0,0.0,5.309631806372182,1500000000.0
0.10724,0.0,0.0,0.002392057473272038,0.0,0.0,0.0,0.0,0.0,5.203439170244738,1500000000.0
0.1097,0.0,0.0,0.002440874972726569,0.0,0.0,0.0,0.0,0.0,5.099370386839843,1500000000.0
0.1122,0.0,0.0,0.0024906887476801726,0.0,0.0,0.0,0.0,0.0,4.997382979103047,1500000000.0
0.11475,0.0,0.0,0.0025415191302858905,0.0,0.0,0.0,0.0,0.0,4.897435319520985,1500000000.0
0.1173,0.0,0.0,0.002593386867638663,0.0,0.0,0.0,0.0,0.0,4.799486613130566,1500000000.0
0.11993,0.0,0.0,0.0026463131302435347,0.0,0.0,0.0,0.0,0.0,4.703496880867954,1500000000.0
0.1226,0.0,0.0,0.002700319520656668,0.0,0.0,0.0,0.0,0.0,4.609426943250595,1500000000.0
0.1254,0.0,0.0,0.0027554280823027222,0.0,0.0,0.0,0.0,0.0,4.517238404385583,1500000000.0
0.1282,0.0,0.0,0.002811661308472166,0.0,0.0,0.0,0.0,0.0,4.426893636297871,1500000000.0
0.1311,0.0,0.0,0.00286904215150221,0.0,0.0,0.0,0.0,0.0,4.338355763571913,1500000000.0
0.134,0.0,0.0,0.002927594032145113,0.0,0.0,0.0,0.0,0.0,4.251588648300475,1500000000.0
0.137,0.0,0.0,0.002987340849127666,0.0,0.0,0.0,0.0,0.0,4.166556875334465,1500000000.0
0.14,0.0,0.0,0.0030483069889057812,0.0,0.0,0.0,0.0,0.0,4.083225737827776,1500000000.0
0.1431,0.0,0.0,0.003110517335618144,0.0,0.0,0.0,0.0,0.0,4.001561223071221,1500000000.0
0.1462,0.0,0.0,0.0031739972812430046,0.0,0.0,0.0,0.0,0.0,3.9215299986097962,1500000000.0
0.1495,0.0,0.0,0.003238772735962249,0.0,0.0,0.0,0.0,0.0,3.8430993986376003,1500000000.0
0.1528,0.0,0.0,0.0033048701387369895,0.0,0.0,0.0,0.0,0.0,3.766237410664848,1500000000.0
0.1562,0.0,0.0,0.0033723164680989686,0.0,0.0,0.0,0.0,0.0,3.6909126624515514,1500000000.0
0.1597,0.0,0.0,0.003441139253162213,0.0,0.0,0.0,0.0,0.0,3.61709440920252,1500000000.0
0.1632,0.0,0.0,0.0035113665848594015,0.0,0.0,0.0,0.0,0.0,3.5447525210184696,1500000000.0
0.1667,0.0,0.0,0.0035830271274075523,0.0,0.0,0.0,0.0,0.0,3.4738574705981002,1500000000.0
0.1704,0.0,0.0,0.003656150130007706,0.0,0.0,0.0,0.0,0.0,3.4043803211861383,1500000000.0
0.1742,0.0,0.0,0.003730765438783374,0.0,0.0,0.0,0.0,0.0,3.3362927147624153,1500000000.0
0.178,0.0,0.0,0.0038069035089626263,0.0,0.0,0.0,0.0,0.0,3.269566860467167,1500000000.0
0.1819,0.0,0.0,0.0038845954173088028,0.0,0.0,0.0,0.0,0.0,3.2041755232578235,1500000000.0
0.1858,0.0,0.0,0.003963872874804901,0.0,0.0,0.0,0.0,0.0,3.140092012792667,1500000000.0
